date,"song, artist",song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity_score
9/7/83,"Every Breath You Take, The Police",Every Breath You Take,The Police,0.82,0.452,1.0,-9.796,1.0,0.0348,0.543,0.00294,0.0714,0.74,117.401,253920.0,1.3948126801152738
9/1/82,"Physical, Olivia Newton-John",Physical,Olivia Newton-John,0.84,0.728,4.0,-8.473,0.0,0.0436,0.127,0.00114,0.114,0.74,124.066,225993.0,1.3711967545638948
9/1/82,"Waiting For A Girl Like You, Foreigner",Waiting For A Girl Like You,Foreigner,0.33,0.469,10.0,-9.286,0.0,0.0335,0.31,2.3e-06,0.0402,0.433,201.327,292067.0,1.2777777777777777
9/5/81,"Celebration, Kool",Celebration,Kool,0.885,0.664,1.0,-11.795,1.0,0.0524,0.145,0.0483,0.0767,0.906,121.632,298867.0,1.271186440677966
9/7/83,"Flashdance...What A Feeling, Irene Cara",Flashdance...What A Feeling,Irene Cara,0.572,0.654,7.0,-7.027,0.0,0.0344,0.0058,3.21e-06,0.09,0.399,122.491,237053.0,1.25
9/10/82,"Hurts So Good, John Cougar",Hurts So Good,John Cougar,0.785,0.737,9.0,-5.306,1.0,0.0363,0.042,0.000107,0.108,0.971,125.447,218960.0,1.1825037707390649
9/10/82,"Eye Of The Tiger, Survivor",Eye Of The Tiger,Survivor,0.815,0.438,0.0,-14.522,0.0,0.0346,0.216,0.000466,0.0787,0.552,108.965,243773.0,1.1446886446886446
9/5/81,"I Love A Rainy Night, Eddie Rabbitt",I Love A Rainy Night,Eddie Rabbitt,0.685,0.718,0.0,-7.724,1.0,0.0521,0.122,0.0,0.0556,0.958,131.463,191067.0,1.129032258064516
9/10/82,"Abracadabra, The Steve Miller Band",Abracadabra,The Steve Miller Band,0.799,0.768,9.0,-9.816,0.0,0.0635,0.00175,0.822,0.0783,0.991,126.989,233732.0,1.1101243339253997
9/5/81,"Jessie's Girl, Rick Springfield",Jessie's Girl,Rick Springfield,0.727,0.834,2.0,-5.851,1.0,0.0496,0.165,0.0,0.105,0.816,131.7,194120.0,1.107027027027027
9/1/82,"Centerfold, The J. Geils Band",Centerfold,The J. Geils Band,0.653,0.677,0.0,-12.244,1.0,0.0396,0.249,0.0,0.403,0.888,114.37,216533.0,1.0984182776801406
9/5/81,"Keep On Loving You, REO Speedwagon",Keep On Loving You,REO Speedwagon,0.306,0.722,0.0,-5.963,1.0,0.034,0.0519,0.0,0.117,0.41,174.732,200293.0,1.0933786078098473
9/1/82,"I Can't Go For That (No Can Do), Daryl Hall John Oates",I Can't Go For That (No Can Do),Daryl Hall John Oates,0.889,0.441,0.0,-9.506,0.0,0.0379,0.0405,0.000788,0.038,0.963,110.565,307307.0,1.072992700729927
8/10/83,"All Night Long (All Night), Lionel Richie",All Night Long (All Night),Lionel Richie,0.744,0.583,1.0,-12.595,1.0,0.0427,0.152,8.54e-05,0.0248,0.851,108.794,260493.0,1.0686456400742115
9/1/82,"Harden My Heart, Quarterflash",Harden My Heart,Quarterflash,0.531,0.43,11.0,-14.523,0.0,0.0578,0.0568,1.22e-06,0.0964,0.453,124.284,232627.0,1.0666666666666667
9/4/83,"Shame On The Moon, Bob Seger",Shame On The Moon,Bob Seger,0.615,0.563,9.0,-7.585,1.0,0.0254,0.283,0.00118,0.117,0.547,105.772,295053.0,1.0626506024096385
7/3/81,"(Just Like) Starting Over, John Lennon",(Just Like) Starting Over,John Lennon,0.701,0.79,9.0,-6.16,1.0,0.0725,0.301,6.06e-05,0.179,0.421,99.104,236547.0,1.0476190476190474
